
[00:00:00.000 --> 00:00:00.050]  
[00:00:00.050 --> 00:00:00.280]   You
[00:08:07.010 --> 00:08:07.180]   then
[00:08:07.180 --> 00:08:07.300]   at
[00:08:07.300 --> 00:08:07.540]   the
[00:08:07.540 --> 00:08:07.780]   end
[00:08:07.780 --> 00:08:07.940]   in
[00:08:07.940 --> 00:08:08.100]   the
[00:08:08.100 --> 00:08:08.340]   last
[00:08:08.340 --> 00:08:09.170]   line
[00:08:09.170 --> 00:08:09.320]   they
[00:08:09.320 --> 00:08:09.690]   say
[00:08:09.690 --> 00:08:10.220]   yeah
[00:08:10.220 --> 00:08:10.980]   sounds
[00:08:10.980 --> 00:08:11.410]   good
[00:08:11.410 --> 00:08:11.630]   I
[00:08:11.630 --> 00:08:11.900]  'll
[00:08:11.900 --> 00:08:12.280]   ask
[00:08:12.280 --> 00:08:12.780]   him
[00:08:12.780 --> 00:08:13.130]   when
[00:08:13.130 --> 00:08:13.440]   he
[00:08:13.440 --> 00:08:13.780]   works
[00:08:13.780 --> 00:08:14.470]   and
[00:08:14.470 --> 00:08:14.640]   we
[00:08:14.640 --> 00:08:15.000]  'll
[00:08:15.000 --> 00:08:15.210]   make
[00:08:15.210 --> 00:08:15.220]   a
[00:08:15.220 --> 00:08:15.620]   plan
[00:08:15.620 --> 00:08:16.430]  
[00:08:16.430 --> 00:08:16.460]   works
[00:08:16.460 --> 00:08:17.080]   okay
[00:08:17.080 --> 00:08:17.730]   very
[00:08:17.730 --> 00:08:18.380]   good
[00:08:18.380 --> 00:08:18.700]   so
[00:08:18.700 --> 00:08:19.020]   in
[00:08:19.020 --> 00:08:19.510]   the
[00:08:19.510 --> 00:08:20.320]   whole
[00:08:20.320 --> 00:08:21.500]   example
[00:08:21.500 --> 00:08:21.750]   we
[00:08:21.750 --> 00:08:22.340]   heard
[00:08:22.340 --> 00:08:24.100]   likes
[00:08:24.100 --> 00:08:25.240]   bites
[00:08:25.240 --> 00:08:26.380]   works
[00:08:26.380 --> 00:08:27.700]   and
[00:08:27.700 --> 00:08:29.250]   creeps
[00:08:29.250 --> 00:08:30.340]   very
[00:08:30.340 --> 00:08:31.270]   cool
[00:08:31.270 --> 00:08:32.140]   so
[00:08:32.140 --> 00:08:32.540]   why
[00:08:32.540 --> 00:08:33.050]   do
[00:08:33.050 --> 00:08:33.560]   we
[00:08:33.560 --> 00:08:34.360]   add
[00:08:34.360 --> 00:08:34.570]   a
[00:08:34.570 --> 00:08:34.820]   S
[00:08:34.820 --> 00:08:36.140]   sound
[00:08:36.140 --> 00:08:36.820]   to
[00:08:36.820 --> 00:08:37.020]   these
[00:08:37.020 --> 00:08:37.560]   words
[00:08:37.560 --> 00:08:37.960]   what
[00:08:37.960 --> 00:08:37.980]   is
[00:08:37.980 --> 00:08:38.180]   the
[00:08:38.180 --> 00:08:38.420]   rule
[00:08:38.420 --> 00:08:39.140]  
[00:08:39.140 --> 00:08:39.260]   Suzanne
[00:08:39.260 --> 00:08:39.430]   if
[00:08:39.430 --> 00:08:39.770]   you
[00:08:39.770 --> 00:08:40.450]   notice
[00:08:40.450 --> 00:08:40.790]   all
[00:08:40.790 --> 00:08:41.060]   of
[00:08:41.060 --> 00:08:41.350]   the
[00:08:41.350 --> 00:08:41.800]   root
[00:08:41.800 --> 00:08:42.360]   words
[00:08:42.360 --> 00:08:42.860]   or
[00:08:42.860 --> 00:08:42.920]   the
[00:08:42.920 --> 00:08:43.480]   words
[00:08:43.480 --> 00:08:44.160]   before
[00:08:44.160 --> 00:08:44.840]   adding
[00:08:44.840 --> 00:08:45.290]   the
[00:08:45.290 --> 00:08:45.500]   S
[00:08:45.500 --> 00:08:46.150]   and
[00:08:46.150 --> 00:08:46.280]   in
[00:08:46.280 --> 00:08:46.340]   a
[00:08:46.340 --> 00:08:46.800]   voic
[00:08:46.800 --> 00:08:47.450]  eless
[00:08:47.450 --> 00:08:48.230]   conson
[00:08:48.230 --> 00:08:48.600]  ant
[00:08:48.600 --> 00:08:48.790]   a
[00:08:48.790 --> 00:08:49.920]   conson
[00:08:49.920 --> 00:08:49.940]  ant
[00:08:49.940 --> 00:08:50.440]   that
[00:08:50.440 --> 00:08:51.090]   doesn
[00:08:51.090 --> 00:08:51.340]  't
[00:08:51.340 --> 00:08:51.870]   have
[00:08:51.870 --> 00:08:52.370]   any
[00:08:52.370 --> 00:08:52.620]   voice
[00:08:52.620 --> 00:08:53.420]   that
[00:08:53.420 --> 00:08:53.700]   just
[00:08:53.700 --> 00:08:54.410]  
[00:08:54.410 --> 00:08:54.540]   has
[00:08:54.540 --> 00:08:55.160]   air
[00:08:55.160 --> 00:08:56.130]   like
[00:08:56.130 --> 00:08:57.100]   work
[00:08:57.100 --> 00:08:57.580]   or
[00:08:57.580 --> 00:08:58.800]   creep
[00:08:58.800 --> 00:08:59.280]   or
[00:08:59.280 --> 00:09:00.360]   bite
[00:09:00.360 --> 00:09:00.730]   or
[00:09:00.730 --> 00:09:01.700]   like
[00:09:01.700 --> 00:09:02.430]  .
[00:09:02.430 --> 00:09:03.960]   These
[00:09:03.960 --> 00:09:05.110]   sounds
[00:09:05.110 --> 00:09:05.840]   cut
[00:09:05.840 --> 00:09:06.570]   and
[00:09:06.570 --> 00:09:07.380]   all
[00:09:07.380 --> 00:09:08.100]   do
[00:09:08.100 --> 00:09:08.320]   not
[00:09:08.320 --> 00:09:08.660]   have
[00:09:08.660 --> 00:09:09.490]   voice
[00:09:09.490 --> 00:09:09.520]   so
[00:09:09.520 --> 00:09:10.540]   whenever
[00:09:10.540 --> 00:09:10.880]   you
[00:09:10.880 --> 00:09:11.370]   have
[00:09:11.370 --> 00:09:11.490]   a
[00:09:11.490 --> 00:09:11.980]   word
[00:09:11.980 --> 00:09:12.470]   that
[00:09:12.470 --> 00:09:13.100]   ends
[00:09:13.100 --> 00:09:13.450]   with
[00:09:13.450 --> 00:09:13.570]   a
[00:09:13.570 --> 00:09:14.060]   voic
[00:09:14.060 --> 00:09:14.790]  eless
[00:09:14.790 --> 00:09:15.530]   conson
[00:09:15.530 --> 00:09:15.860]  ant
[00:09:15.860 --> 00:09:16.380]   you
[00:09:16.380 --> 00:09:16.740]  're
[00:09:16.740 --> 00:09:17.370]  
[00:09:17.370 --> 00:09:17.570]   going
[00:09:17.570 --> 00:09:17.620]   to
[00:09:17.620 --> 00:09:18.000]   add
[00:09:18.000 --> 00:09:18.250]   an
[00:09:18.250 --> 00:09:18.370]   S
[00:09:18.370 --> 00:09:19.080]   sound
[00:09:19.080 --> 00:09:19.250]   to
[00:09:19.250 --> 00:09:19.750]   make
[00:09:19.750 --> 00:09:20.030]   it
[00:09:20.030 --> 00:09:20.750]   plural
[00:09:20.750 --> 00:09:21.180]   or
[00:09:21.180 --> 00:09:21.380]   for
[00:09:21.380 --> 00:09:21.760]   the
[00:09:21.760 --> 00:09:22.390]   third
[00:09:22.390 --> 00:09:23.140]   person
[00:09:23.140 --> 00:09:24.280]   singular
[00:09:24.280 --> 00:09:24.580]   verb
[00:09:24.580 --> 00:09:25.620]   like
[00:09:25.620 --> 00:09:26.910]   works
[00:09:26.910 --> 00:09:28.520]   creeps
[00:09:28.520 --> 00:09:29.820]   likes
[00:09:29.820 --> 00:09:30.710]   and
[00:09:30.710 --> 00:09:31.890]   bites
[00:09:31.890 --> 00:09:32.320]   very
[00:09:32.320 --> 00:09:32.740]   cool
[00:09:32.740 --> 00:09:32.970]   so
[00:09:32.970 --> 00:09:33.430]   whenever
[00:09:33.430 --> 00:09:33.570]   you
[00:09:33.570 --> 00:09:33.790]   have
[00:09:33.790 --> 00:09:33.900]   a
[00:09:33.900 --> 00:09:34.310]   voic
[00:09:34.310 --> 00:09:34.780]  eless
[00:09:34.780 --> 00:09:35.610]   conson
[00:09:35.610 --> 00:09:35.660]  ant
[00:09:35.660 --> 00:09:36.050]   then
[00:09:36.050 --> 00:09:36.340]   you
[00:09:36.340 --> 00:09:36.730]   just
[00:09:36.730 --> 00:09:37.010]   add
[00:09:37.010 --> 00:09:37.210]   an
[00:09:37.210 --> 00:09:37.420]   S
[00:09:37.420 --> 00:09:37.800]   sound
[00:09:37.800 --> 00:09:38.070]   to
[00:09:38.070 --> 00:09:38.380]   make
[00:09:38.380 --> 00:09:38.570]   it
[00:09:38.570 --> 00:09:39.220]   plural
[00:09:39.220 --> 00:09:39.650]   right
[00:09:39.650 --> 00:09:39.840]   so
[00:09:39.840 --> 00:09:40.340]   like
[00:09:40.340 --> 00:09:41.140]   park
[00:09:41.140 --> 00:09:42.180]   would
[00:09:42.180 --> 00:09:43.010]  
[00:09:43.010 --> 00:09:43.150]   become
[00:09:43.150 --> 00:09:44.060]   parks
[00:09:44.060 --> 00:09:44.820]   shoot
[00:09:44.820 --> 00:09:45.550]   would
[00:09:45.550 --> 00:09:46.620]   become
[00:09:46.620 --> 00:09:47.490]   shoots
[00:09:47.490 --> 00:09:47.970]   map
[00:09:47.970 --> 00:09:48.840]   would
[00:09:48.840 --> 00:09:49.410]   become
[00:09:49.410 --> 00:09:49.900]   maps
[00:09:49.900 --> 00:09:50.320]   all
[00:09:50.320 --> 00:09:50.660]   of
[00:09:50.660 --> 00:09:50.900]   those
[00:09:50.900 --> 00:09:51.180]   words
[00:09:51.180 --> 00:09:52.000]   and
[00:09:52.000 --> 00:09:52.020]   with
[00:09:52.020 --> 00:09:52.470]   voic
[00:09:52.470 --> 00:09:53.060]  eless
[00:09:53.060 --> 00:09:53.820]   conson
[00:09:53.820 --> 00:09:54.240]  ants
[00:09:54.240 --> 00:09:54.590]   and
[00:09:54.590 --> 00:09:54.820]   so
[00:09:54.820 --> 00:09:55.050]   we
[00:09:55.050 --> 00:09:55.620]   just
[00:09:55.620 --> 00:09:55.920]   add
[00:09:55.920 --> 00:09:56.040]   S
[00:09:56.040 --> 00:09:56.660]   sound
[00:09:56.660 --> 00:09:56.900]   to
[00:09:56.900 --> 00:09:57.390]   make
[00:09:57.390 --> 00:09:57.660]   it
[00:09:57.660 --> 00:09:58.050]   plural
[00:09:58.050 --> 00:09:58.700]   yeah
[00:09:58.700 --> 00:09:59.600]   another
[00:09:59.600 --> 00:10:00.580]   example
[00:10:00.580 --> 00:10:00.750]   is
[00:10:00.750 --> 00:10:01.040]   an
[00:10:01.040 --> 00:10:01.120]   F
[00:10:01.120 --> 00:10:01.760]   sound
[00:10:01.760 --> 00:10:01.990]   F
[00:10:01.990 --> 00:10:02.130]   is
[00:10:02.130 --> 00:10:02.640]   also
[00:10:02.640 --> 00:10:03.150]   voic
[00:10:03.150 --> 00:10:03.860]  eless
[00:10:03.860 --> 00:10:04.210]   so
[00:10:04.210 --> 00:10:04.950]   like
[00:10:04.950 --> 00:10:05.700]   chef
[00:10:05.700 --> 00:10:06.660]   chefs
[00:10:06.660 --> 00:10:07.460]   that
[00:10:07.460 --> 00:10:07.700]   would
[00:10:07.700 --> 00:10:07.750]  
[00:10:07.750 --> 00:10:08.420]   also
[00:10:08.420 --> 00:10:08.540]   have
[00:10:08.540 --> 00:10:08.650]   an
[00:10:08.650 --> 00:10:08.740]   S
[00:10:08.740 --> 00:10:08.930]   at
[00:10:08.930 --> 00:10:09.210]   the
[00:10:09.210 --> 00:10:09.580]   end
[00:10:09.580 --> 00:10:10.160]   perfect
[00:10:10.160 --> 00:10:10.990]   perfect
[00:10:10.990 --> 00:10:11.020]   so
[00:10:11.020 --> 00:10:11.400]   that
[00:10:11.400 --> 00:10:11.590]  's
[00:10:11.590 --> 00:10:12.140]   our
[00:10:12.140 --> 00:10:12.340]   first
[00:10:12.340 --> 00:10:12.780]   rule
[00:10:12.780 --> 00:10:13.450]   everyone
[00:10:13.450 --> 00:10:13.760]   if
[00:10:13.760 --> 00:10:13.980]   you
[00:10:13.980 --> 00:10:14.270]   have
[00:10:14.270 --> 00:10:14.590]   a
[00:10:14.590 --> 00:10:14.630]   word
[00:10:14.630 --> 00:10:14.920]   that
[00:10:14.920 --> 00:10:15.210]   ends
[00:10:15.210 --> 00:10:15.360]   in
[00:10:15.360 --> 00:10:15.430]   a
[00:10:15.430 --> 00:10:15.720]   voic
[00:10:15.720 --> 00:10:16.100]  eless
[00:10:16.100 --> 00:10:16.530]   conson
[00:10:16.530 --> 00:10:16.740]  ant
[00:10:16.740 --> 00:10:17.050]   that
[00:10:17.050 --> 00:10:17.280]   you
[00:10:17.280 --> 00:10:17.550]   have
[00:10:17.550 --> 00:10:17.700]   to
[00:10:17.700 --> 00:10:18.200]   turn
[00:10:18.200 --> 00:10:18.380]   into
[00:10:18.380 --> 00:10:18.420]   a
[00:10:18.420 --> 00:10:19.250]   plural
[00:10:19.250 --> 00:10:19.390]   or
[00:10:19.390 --> 00:10:19.630]   if
[00:10:19.630 --> 00:10:19.870]   it
[00:10:19.870 --> 00:10:20.110]  's
[00:10:20.110 --> 00:10:20.300]   a
[00:10:20.300 --> 00:10:20.840]   third
[00:10:20.840 --> 00:10:21.570]   person
[00:10:21.570 --> 00:10:22.050]   verb
[00:10:22.050 --> 00:10:22.850]   then
[00:10:22.850 --> 00:10:22.890]   you
[00:10:22.890 --> 00:10:23.660]   simply
[00:10:23.660 --> 00:10:23.980]   add
[00:10:23.980 --> 00:10:24.100]   a
[00:10:24.100 --> 00:10:24.220]   S
[00:10:24.220 --> 00:10:24.830]   sound
[00:10:24.830 --> 00:10:25.080]   to
[00:10:25.080 --> 00:10:25.520]   the
[00:10:25.520 --> 00:10:26.540]   end
[00:10:26.540 --> 00:10:26.940]   okay
[00:10:26.940 --> 00:10:27.370]   so
[00:10:27.370 --> 00:10:27.540]   what
[00:10:27.540 --> 00:10:28.040]   about
[00:10:28.040 --> 00:10:28.420]   the
[00:10:28.420 --> 00:10:28.940]   second
[00:10:28.940 --> 00:10:29.340]   rule
[00:10:29.340 --> 00:10:29.830]   what
[00:10:29.830 --> 00:10:29.940]   is
[00:10:29.940 --> 00:10:30.240]   our
[00:10:30.240 --> 00:10:30.980]   second
[00:10:30.980 --> 00:10:31.930]   pronunciation
[00:10:31.930 --> 00:10:32.260]   rule
[00:10:32.260 --> 00:10:32.660]   for
[00:10:32.660 --> 00:10:32.710]  
[00:10:32.710 --> 00:10:33.050]   today
[00:10:33.050 --> 00:10:33.380]   so
[00:10:33.380 --> 00:10:33.490]   let
[00:10:33.490 --> 00:10:33.580]  's
[00:10:33.580 --> 00:10:33.890]   look
[00:10:33.890 --> 00:10:34.040]   at
[00:10:34.040 --> 00:10:34.260]   all
[00:10:34.260 --> 00:10:34.420]   of
[00:10:34.420 --> 00:10:34.650]   the
[00:10:34.650 --> 00:10:35.040]   words
[00:10:35.040 --> 00:10:35.350]   that
[00:10:35.350 --> 00:10:35.580]   are
[00:10:35.580 --> 00:10:36.050]   plural
[00:10:36.050 --> 00:10:36.200]   or
[00:10:36.200 --> 00:10:36.600]   third
[00:10:36.600 --> 00:10:37.100]   person
[00:10:37.100 --> 00:10:37.820]   singular
[00:10:37.820 --> 00:10:38.650]   that
[00:10:38.650 --> 00:10:38.680]   end
[00:10:38.680 --> 00:10:39.170]   with
[00:10:39.170 --> 00:10:39.290]   a
[00:10:39.290 --> 00:10:39.410]   Z
[00:10:39.410 --> 00:10:40.030]   sound
[00:10:40.030 --> 00:10:40.460]   can
[00:10:40.460 --> 00:10:40.770]   you
[00:10:40.770 --> 00:10:41.260]   help
[00:10:41.260 --> 00:10:41.510]   me
[00:10:41.510 --> 00:10:42.260]   pick
[00:10:42.260 --> 00:10:42.620]   those
[00:10:42.620 --> 00:10:42.990]   out
[00:10:42.990 --> 00:10:43.930]   Andrew
[00:10:43.930 --> 00:10:44.030]   mm
[00:10:44.030 --> 00:10:44.130]  -
[00:10:44.130 --> 00:10:44.230]  h
[00:10:44.230 --> 00:10:44.480]  mm
[00:10:44.480 --> 00:10:45.060]   the
[00:10:45.060 --> 00:10:45.460]   bees
[00:10:45.460 --> 00:10:46.420]   dude
[00:10:46.420 --> 00:10:47.170]   the
[00:10:47.170 --> 00:10:48.100]   bees
[00:10:48.100 --> 00:10:49.060]   this
[00:10:49.060 --> 00:10:50.060]   year
[00:10:50.060 --> 00:10:50.880]   yeah
[00:10:50.880 --> 00:10:51.590]   the
[00:10:51.590 --> 00:10:52.340]   bees
[00:10:52.340 --> 00:10:53.300]   exactly
[00:10:53.300 --> 00:10:54.170]   okay
[00:10:54.170 --> 00:10:54.310]   we
[00:10:54.310 --> 00:10:54.590]   have
[00:10:54.590 --> 00:10:55.040]   bees
[00:10:55.040 --> 00:10:56.020]   what
[00:10:56.020 --> 00:10:56.380]   else
[00:10:56.380 --> 00:10:56.780]   did
[00:10:56.780 --> 00:10:56.830]  
[00:10:56.830 --> 00:10:57.610]   I
[00:10:57.610 --> 00:10:58.120]   hear
[00:10:58.120 --> 00:10:58.400]   I
[00:10:58.400 --> 00:10:59.730]   heard
[00:10:59.730 --> 00:11:01.220]   says
[00:11:01.220 --> 00:11:01.870]   says
[00:11:01.870 --> 00:11:02.140]   y
[00:11:02.140 --> 00:11:02.660]  ep
[00:11:02.660 --> 00:11:03.740]   says
[00:11:03.740 --> 00:11:04.010]   h
[00:11:04.010 --> 00:11:05.140]  ives
[00:11:05.140 --> 00:11:05.500]   h
[00:11:05.500 --> 00:11:06.190]  ives
[00:11:06.190 --> 00:11:06.400]   y
[00:11:06.400 --> 00:11:07.030]  ep
[00:11:07.030 --> 00:11:07.040]   h
[00:11:07.040 --> 00:11:07.900]  ives
[00:11:07.900 --> 00:11:08.020]   I
[00:11:08.020 --> 00:11:09.140]   think
[00:11:09.140 --> 00:11:09.300]   we
[00:11:09.300 --> 00:11:09.540]   have
[00:11:09.540 --> 00:11:10.660]   hands
[00:11:10.660 --> 00:11:11.620]   hands
[00:11:11.620 --> 00:11:12.580]   stick
[00:11:12.580 --> 00:11:13.350]   your
[00:11:13.350 --> 00:11:14.310]   hands
[00:11:14.310 --> 00:11:15.270]   finds
[00:11:15.270 --> 00:11:16.230]   finds
[00:11:16.230 --> 00:11:16.760]   mm
[00:11:16.760 --> 00:11:16.800]  -
[00:11:16.800 --> 00:11:16.990]  h
[00:11:16.990 --> 00:11:17.530]  mm
[00:11:17.530 --> 00:11:17.730]   the
[00:11:17.730 --> 00:11:18.140]   last
[00:11:18.140 --> 00:11:18.450]   one
[00:11:18.450 --> 00:11:18.970]   there
[00:11:18.970 --> 00:11:19.170]   is
[00:11:19.170 --> 00:11:19.820]   sounds
[00:11:19.820 --> 00:11:21.340]   sounds
[00:11:21.340 --> 00:11:21.390]  
[00:11:21.390 --> 00:11:22.170]   okay
[00:11:22.170 --> 00:11:22.690]   sounds
[00:11:22.690 --> 00:11:23.500]   sounds
[00:11:23.500 --> 00:11:24.040]   yeah
[00:11:24.040 --> 00:11:24.630]   very
[00:11:24.630 --> 00:11:25.120]   good
[00:11:25.120 --> 00:11:25.660]   so
[00:11:25.660 --> 00:11:25.780]   in
[00:11:25.780 --> 00:11:26.060]   all
[00:11:26.060 --> 00:11:26.330]   of
[00:11:26.330 --> 00:11:27.010]   these
[00:11:27.010 --> 00:11:27.690]   words
[00:11:27.690 --> 00:11:28.020]   we
[00:11:28.020 --> 00:11:28.420]   hear
[00:11:28.420 --> 00:11:29.500]   the
[00:11:29.500 --> 00:11:30.380]   last
[00:11:30.380 --> 00:11:31.210]   letter
[00:11:31.210 --> 00:11:31.250]   the
[00:11:31.250 --> 00:11:31.340]   F
[00:11:31.340 --> 00:11:31.630]   the
[00:11:31.630 --> 00:11:32.400]   alphabet
[00:11:32.400 --> 00:11:33.020]   letter
[00:11:33.020 --> 00:11:33.070]   S
[00:11:33.070 --> 00:11:33.260]   on
[00:11:33.260 --> 00:11:33.670]   the
[00:11:33.670 --> 00:11:33.840]   end
[00:11:33.840 --> 00:11:34.030]   of
[00:11:34.030 --> 00:11:34.320]   the
[00:11:34.320 --> 00:11:34.820]   word
[00:11:34.820 --> 00:11:35.260]   being
[00:11:35.260 --> 00:11:35.980]   pronounced
[00:11:35.980 --> 00:11:36.220]   as
[00:11:36.220 --> 00:11:36.700]   a
[00:11:36.700 --> 00:11:36.970]   Z
[00:11:36.970 --> 00:11:37.530]   Z
[00:11:37.530 --> 00:11:37.790]   as
[00:11:37.790 --> 00:11:38.340]   we
[00:11:38.340 --> 00:11:39.160]   say
[00:11:39.160 --> 00:11:40.300]   yeah
[00:11:40.300 --> 00:11:40.420]   I
[00:11:40.420 --> 00:11:41.140]   know
[00:11:41.140 --> 00:11:41.300]   sorry
[00:11:41.300 --> 00:11:41.460]   to
[00:11:41.460 --> 00:11:42.030]   confuse
[00:11:42.030 --> 00:11:42.270]   you
[00:11:42.270 --> 00:11:42.830]   guys
[00:11:42.830 --> 00:11:43.500]   so
[00:11:43.500 --> 00:11:43.570]   so
[00:11:43.570 --> 00:11:43.900]   why
[00:11:43.900 --> 00:11:44.840]   why
[00:11:44.840 --> 00:11:45.180]   do
[00:11:45.180 --> 00:11:45.340]   we
[00:11:45.340 --> 00:11:46.170]  
[00:11:46.170 --> 00:11:46.460]   pronounce
[00:11:46.460 --> 00:11:47.080]   these
[00:11:47.080 --> 00:11:47.580]   with
[00:11:47.580 --> 00:11:47.700]   a
[00:11:47.700 --> 00:11:47.820]   Z
[00:11:47.820 --> 00:11:48.440]   sound
[00:11:48.440 --> 00:11:48.940]   yeah
[00:11:48.940 --> 00:11:49.190]   so
[00:11:49.190 --> 00:11:49.770]   if
[00:11:49.770 --> 00:11:49.810]   you
[00:11:49.810 --> 00:11:50.580]   notice
[00:11:50.580 --> 00:11:50.930]   all
[00:11:50.930 --> 00:11:51.180]   of
[00:11:51.180 --> 00:11:51.800]   those
[00:11:51.800 --> 00:11:52.500]   words
[00:11:52.500 --> 00:11:53.500]   have
[00:11:53.500 --> 00:11:53.980]   a
[00:11:53.980 --> 00:11:54.810]   root
[00:11:54.810 --> 00:11:55.100]   word
[00:11:55.100 --> 00:11:55.690]   that
[00:11:55.690 --> 00:11:56.220]   ends
[00:11:56.220 --> 00:11:56.780]   with
[00:11:56.780 --> 00:11:56.920]   a
[00:11:56.920 --> 00:11:57.760]   voiced
[00:11:57.760 --> 00:11:58.600]   conson
[00:11:58.600 --> 00:11:59.020]  ant
[00:11:59.020 --> 00:11:59.740]   right
[00:11:59.740 --> 00:12:00.890]   like
[00:12:00.890 --> 00:12:02.040]   find
[00:12:02.040 --> 00:12:02.700]   or
[00:12:02.700 --> 00:12:04.240]   sound
[00:12:04.240 --> 00:12:04.500]   or
[00:12:04.500 --> 00:12:05.220]  
[00:12:05.220 --> 00:12:05.330]   hive
[00:12:05.330 --> 00:12:06.210]   dozen
[00:12:06.210 --> 00:12:07.350]   dozens
[00:12:07.350 --> 00:12:08.300]   right
[00:12:08.300 --> 00:12:09.250]   dozen
[00:12:09.250 --> 00:12:09.630]   so
[00:12:09.630 --> 00:12:10.630]   these
[00:12:10.630 --> 00:12:11.160]   are
[00:12:11.160 --> 00:12:11.720]   all
[00:12:11.720 --> 00:12:12.670]   words
[00:12:12.670 --> 00:12:13.430]   that
[00:12:13.430 --> 00:12:14.760]   have
[00:12:14.760 --> 00:12:15.420]   voiced
[00:12:15.420 --> 00:12:16.250]   conson
[00:12:16.250 --> 00:12:16.580]  ants
[00:12:16.580 --> 00:12:16.810]   at
[00:12:16.810 --> 00:12:17.160]   the
[00:12:17.160 --> 00:12:17.510]   end
[00:12:17.510 --> 00:12:17.760]   of
[00:12:17.760 --> 00:12:18.320]   their
[00:12:18.320 --> 00:12:18.790]   root
[00:12:18.790 --> 00:12:19.260]   word
[00:12:19.260 --> 00:12:19.840]   and
[00:12:19.840 --> 00:12:19.860]   so
[00:12:19.860 --> 00:12:20.660]   because
[00:12:20.660 --> 00:12:20.890]   of
[00:12:20.890 --> 00:12:21.550]   that
[00:12:21.550 --> 00:12:22.380]   you
[00:12:22.380 --> 00:12:22.540]   will
[00:12:22.540 --> 00:12:22.730]   add
[00:12:22.730 --> 00:12:23.120]   a
[00:12:23.120 --> 00:12:23.930]   Z
[00:12:23.930 --> 00:12:23.960]   sound
[00:12:23.960 --> 00:12:24.200]   at
[00:12:24.200 --> 00:12:24.600]   the
[00:12:24.600 --> 00:12:25.000]   end
[00:12:25.000 --> 00:12:25.540]   when
[00:12:25.540 --> 00:12:25.810]   it
[00:12:25.810 --> 00:12:26.080]  's
[00:12:26.080 --> 00:12:26.890]   plural
[00:12:26.890 --> 00:12:27.150]   so
[00:12:27.150 --> 00:12:27.560]   it
[00:12:27.560 --> 00:12:27.700]  's
[00:12:27.700 --> 00:12:28.240]   also
[00:12:28.240 --> 00:12:29.460]   important
[00:12:29.460 --> 00:12:29.780]   to
[00:12:29.780 --> 00:12:30.660]   notice
[00:12:30.660 --> 00:12:30.860]   that
[00:12:30.860 --> 00:12:31.260]   a
[00:12:31.260 --> 00:12:31.930]  
[00:12:31.930 --> 00:12:32.100]   word
[00:12:32.100 --> 00:12:32.600]   that
[00:12:32.600 --> 00:12:33.270]   ends
[00:12:33.270 --> 00:12:33.940]   with
[00:12:33.940 --> 00:12:34.110]   a
[00:12:34.110 --> 00:12:34.950]   vowel
[00:12:34.950 --> 00:12:35.700]   like
[00:12:35.700 --> 00:12:35.950]   be
[00:12:35.950 --> 00:12:36.280]   be
[00:12:36.280 --> 00:12:36.950]   will
[00:12:36.950 --> 00:12:37.390]   go
[00:12:37.390 --> 00:12:37.610]   to
[00:12:37.610 --> 00:12:38.280]   bees
[00:12:38.280 --> 00:12:38.710]   or
[00:12:38.710 --> 00:12:39.220]   zoo
[00:12:39.220 --> 00:12:39.980]   will
[00:12:39.980 --> 00:12:40.160]   go
[00:12:40.160 --> 00:12:40.380]   to
[00:12:40.380 --> 00:12:40.510]   z
[00:12:40.510 --> 00:12:40.940]  oos
[00:12:40.940 --> 00:12:41.770]   or
[00:12:41.770 --> 00:12:41.980]   family
[00:12:41.980 --> 00:12:42.490]   will
[00:12:42.490 --> 00:12:42.820]   go
[00:12:42.820 --> 00:12:43.020]   to
[00:12:43.020 --> 00:12:44.040]   families
[00:12:44.040 --> 00:12:44.320]   so
[00:12:44.320 --> 00:12:44.580]   if
[00:12:44.580 --> 00:12:44.830]   it
[00:12:44.830 --> 00:12:45.230]  's
[00:12:45.230 --> 00:12:45.380]   a
[00:12:45.380 --> 00:12:45.880]   voice
[00:12:45.880 --> 00:12:46.660]   conson
[00:12:46.660 --> 00:12:47.100]  ant
[00:12:47.100 --> 00:12:47.600]   or
[00:12:47.600 --> 00:12:47.680]   a
[00:12:47.680 --> 00:12:48.660]   vowel
[00:12:48.660 --> 00:12:49.320]   the
[00:12:49.320 --> 00:12:49.580]   word
[00:12:49.580 --> 00:12:50.410]   will
[00:12:50.410 --> 00:12:50.480]   have
[00:12:50.480 --> 00:12:50.590]   a
[00:12:50.590 --> 00:12:50.700]   Z
[00:12:50.700 --> 00:12:50.920]   at
[00:12:50.920 --> 00:12:51.250]   the
[00:12:51.250 --> 00:12:51.580]   end
[00:12:51.580 --> 00:12:52.030]   when
[00:12:52.030 --> 00:12:52.690]   plural
[00:12:52.690 --> 00:12:52.920]   or
[00:12:52.920 --> 00:12:53.140]   in
[00:12:53.140 --> 00:12:53.470]   the
[00:12:53.470 --> 00:12:54.030]   third
[00:12:54.030 --> 00:12:54.700]   person
[00:12:54.700 --> 00:12:55.710]   singular
[00:12:55.710 --> 00:12:56.500]   so
[00:12:56.500 --> 00:12:57.250]   just
[00:12:57.250 --> 00:12:57.340]   to
[00:12:57.340 --> 00:12:57.390]  
[00:12:57.390 --> 00:12:58.170]   recap
[00:12:58.170 --> 00:12:58.300]   our
[00:12:58.300 --> 00:12:58.890]   first
[00:12:58.890 --> 00:12:59.380]   rule
[00:12:59.380 --> 00:12:59.680]   is
